ep:uri,Vote mapping
http://data.europarl.europa.eu/org/group/ECR-5148,ECR
http://data.europarl.europa.eu/org/group/PPE-5153,PPE
http://data.europarl.europa.eu/org/group/NGL-5151,GUE/NGL
http://data.europarl.europa.eu/org/group/ALE-5155,Verts/ALE
http://data.europarl.europa.eu/org/group/S&D-5154,S&D
http://data.europarl.europa.eu/org/group/ID-5588,ID
http://data.europarl.europa.eu/org/group/NI-5152,NI
http://data.europarl.europa.eu/org/group/Renew-5704,Renew
http://data.europarl.europa.eu/org/group/ENF-4908,ENF
http://data.europarl.europa.eu/org/group/EFDD-4280,EFDD
http://data.europarl.europa.eu/org/group/ALDE-4283,ALDE
