?committee	?averageTranslationDurationInDays
<http://data.europarl.europa.eu/resource/org/C03-4959>	13.328467153284671532846715
<http://data.europarl.europa.eu/resource/org/C05-4961>	25.196955859969558599695586
<http://data.europarl.europa.eu/resource/org/C10-4966>	34.829268292682926829268293
<http://data.europarl.europa.eu/resource/org/C11-4967>	23.915343915343915343915344
<http://data.europarl.europa.eu/resource/org/C01-4957>	22.036220472440944881889764
<http://data.europarl.europa.eu/resource/org/C04-4960>	8.616755793226381461675579
<http://data.europarl.europa.eu/resource/org/C09-4965>	26.314814814814814814814815
<http://data.europarl.europa.eu/resource/org/C03-5083>	9.068421052631578947368421
<http://data.europarl.europa.eu/resource/org/C05-5085>	11.407079646017699115044248
<http://data.europarl.europa.eu/resource/org/C04-5084>	14.010723860589812332439678
<http://data.europarl.europa.eu/resource/org/C06-4962>	12.761523046092184368737475
<http://data.europarl.europa.eu/resource/org/C07-4963>	8.633587786259541984732824
<http://data.europarl.europa.eu/resource/org/C14-4970>	11.849056603773584905660377
<http://data.europarl.europa.eu/resource/org/CJ36-5063>	26.06976744186046511627907
<http://data.europarl.europa.eu/resource/org/C08-4964>	30.993939393939393939393939
<http://data.europarl.europa.eu/resource/org/C11-3956>	39.840909090909090909090909
<http://data.europarl.europa.eu/resource/org/C16-4972>	26.835714285714285714285714
<http://data.europarl.europa.eu/resource/org/C17-4973>	12.907853403141361256544503
<http://data.europarl.europa.eu/resource/org/C01-5081>	7.606837606837606837606838
<http://data.europarl.europa.eu/resource/org/C20-5100>	8.017543859649122807017544
<http://data.europarl.europa.eu/resource/org/C12-4968>	11.541284403669724770642202
<http://data.europarl.europa.eu/resource/org/C07-5087>	10.784615384615384615384615
<http://data.europarl.europa.eu/resource/org/C06-5086>	8.486956521739130434782609
<http://data.europarl.europa.eu/resource/org/C18-4974>	27.97484276729559748427673
<http://data.europarl.europa.eu/resource/org/C13-4969>	37.525
<http://data.europarl.europa.eu/resource/org/C15-4971>	19.714285714285714285714286
<http://data.europarl.europa.eu/resource/org/CJ03-4986>	43.904761904761904761904762
<http://data.europarl.europa.eu/resource/org/C02-4958>	21.578947368421052631578947
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	26.887850467289719626168224
<http://data.europarl.europa.eu/resource/org/C12-5092>	8.1
<http://data.europarl.europa.eu/resource/org/CJ37-5064>	12.703125
<http://data.europarl.europa.eu/resource/org/CS05-5047>	35.402173913043478260869565
<http://data.europarl.europa.eu/resource/org/CJ16-4983>	11.227272727272727272727273
<http://data.europarl.europa.eu/resource/org/C20-4976>	24.912280701754385964912281
<http://data.europarl.europa.eu/resource/org/C17-5097>	0.545454545454545454545455
<http://data.europarl.europa.eu/resource/org/C02-5082>	10.434782608695652173913043
